"year","geography","drug_type","geography_type","span","count","population","age_adj_rate","lower_age_adj","upper_age_adj","crude_rate","lower_crude_rate","upper_crude_rate","rse","rse_25","last_updated"
"2000","Thurston","any_opioid","county","1","6","207351","2.8","1","6.4","2.9","1.3","6.3","40.79085%","1","final"
"2000","Wahkiakum","any_opioid","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","any_opioid","county","1","1","55177","2.1","0.1","11.9","1.8","0.3","10.3","99.50372%","1","final"
"2000","Whatcom","any_opioid","county","1","10","166826","6.2","3","11.7","6","3.3","11","31.60698%","1","final"
"2000","Whitman","any_opioid","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","any_opioid","county","1","11","222579","5.5","2.8","9.9","4.9","2.8","8.9","30.13744%","1","final"
"2000","Adams","cocaine","county","1","0","16433","0","","28.7","0","0","23.4","1 000.00000%","1","final"
"2000","Asotin","cocaine","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","cocaine","county","1","3","142473","2","0.4","6.7","2.1","0.7","6.2","57.63904%","1","final"
"2000","Chelan","cocaine","county","1","0","66615","0","","6.3","0","0","5.8","1 000.00000%","1","final"
"2000","Clallam","cocaine","county","1","2","64187","4.2","0.5","15.6","3.1","0.9","11.4","70.53456%","1","final"
"2000","Clark","cocaine","county","1","6","345234","1.7","0.6","3.9","1.7","0.8","3.8","40.79085%","1","final"
"2000","Columbia","cocaine","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","cocaine","county","1","2","92949","2.2","0.3","8.1","2.2","0.6","7.8","70.53456%","1","final"
"2000","Douglas","cocaine","county","1","0","32600","0","","13.4","0","0","11.8","1 000.00000%","1","final"
"2000","Ferry","cocaine","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","cocaine","county","1","1","49351","2.4","0.1","17.9","2","0.4","11.5","99.50372%","1","final"
"2000","Garfield","cocaine","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","cocaine","county","1","0","74695","0","","6.4","0","0","5.1","1 000.00000%","1","final"
"2000","Grays Harbor","cocaine","county","1","0","67190","0","","6.6","0","0","5.7","1 000.00000%","1","final"
"2000","Island","cocaine","county","1","0","71564","0","","6.1","0","0","5.4","1 000.00000%","1","final"
"2000","Jefferson","cocaine","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","cocaine","county","1","68","1737047","3.5","2.8","4.5","3.9","3.1","5","12.12589%","0","final"
"2000","Kitsap","cocaine","county","1","2","231967","0.8","0.1","3.2","0.9","0.2","3.1","70.53456%","1","final"
"2000","Kittitas","cocaine","county","1","0","33361","0","","15.1","0","0","11.5","1 000.00000%","1","final"
"2000","Klickitat","cocaine","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","cocaine","county","1","0","68599","0","","6.8","0","0","5.6","1 000.00000%","1","final"
"2000","Lincoln","cocaine","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","cocaine","county","1","0","49403","0","","9.7","0","0","7.8","1 000.00000%","1","final"
"2000","Okanogan","cocaine","county","1","0","39561","0","","11.6","0","0","9.7","1 000.00000%","1","final"
"2000","Pacific","cocaine","county","1","0","20987","0","","28.8","0","0","18.3","1 000.00000%","1","final"
"2000","Pend Oreille","cocaine","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","cocaine","county","1","23","700821","3.2","2","4.9","3.3","2.2","4.9","20.84691%","0","final"
"2000","San Juan","cocaine","county","1","0","14072","0","","57.9","0","0","27.3","1 000.00000%","1","final"
"2000","Skagit","cocaine","county","1","2","102981","2.1","0.3","7.8","1.9","0.5","7.1","70.53456%","1","final"
"2000","Skamania","cocaine","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","cocaine","county","1","23","606020","3.5","2.2","5.4","3.8","2.5","5.7","20.84691%","0","final"
"2000","Spokane","cocaine","county","1","7","417937","1.7","0.7","3.5","1.7","0.8","3.5","37.76948%","1","final"
"2000","Stevens","cocaine","county","1","0","40062","0","","13.5","0","0","9.6","1 000.00000%","1","final"
"2000","Thurston","cocaine","county","1","0","207351","0","","2.1","0","0","1.9","1 000.00000%","1","final"
"2000","Wahkiakum","cocaine","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","cocaine","county","1","1","55177","2.1","0.1","11.9","1.8","0.3","10.3","99.50372%","1","final"
"2000","Whatcom","cocaine","county","1","6","166826","3.9","1.4","8.7","3.6","1.6","7.8","40.79085%","1","final"
"2000","Whitman","cocaine","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","cocaine","county","1","6","222579","3","1.1","6.6","2.7","1.2","5.9","40.79085%","1","final"
"2000","Adams","heroin","county","1","0","16433","0","","28.7","0","0","23.4","1 000.00000%","1","final"
"2000","Asotin","heroin","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","heroin","county","1","0","142473","0","","3.6","0","0","2.7","1 000.00000%","1","final"
"2000","Chelan","heroin","county","1","0","66615","0","","6.3","0","0","5.8","1 000.00000%","1","final"
"2000","Clallam","heroin","county","1","1","64187","2.3","0.1","12.9","1.6","0.3","8.8","99.50372%","1","final"
"2000","Clark","heroin","county","1","16","345234","4.5","2.6","7.5","4.6","2.9","7.5","24.99219%","1","final"
"2000","Columbia","heroin","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","heroin","county","1","3","92949","3.6","0.7","10.4","3.2","1.1","9.5","57.63904%","1","final"
"2000","Douglas","heroin","county","1","0","32600","0","","13.4","0","0","11.8","1 000.00000%","1","final"
"2000","Ferry","heroin","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","heroin","county","1","0","49351","0","","14.4","0","0","7.8","1 000.00000%","1","final"
"2000","Garfield","heroin","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","heroin","county","1","0","74695","0","","6.4","0","0","5.1","1 000.00000%","1","final"
"2000","Grays Harbor","heroin","county","1","0","67190","0","","6.6","0","0","5.7","1 000.00000%","1","final"
"2000","Island","heroin","county","1","1","71564","1.4","0","8.5","1.4","0.2","7.9","99.50372%","1","final"
"2000","Jefferson","heroin","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","heroin","county","1","19","1737047","1","0.6","1.6","1.1","0.7","1.7","22.93554%","0","final"
"2000","Kitsap","heroin","county","1","0","231967","0","","1.9","0","0","1.7","1 000.00000%","1","final"
"2000","Kittitas","heroin","county","1","0","33361","0","","15.1","0","0","11.5","1 000.00000%","1","final"
"2000","Klickitat","heroin","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","heroin","county","1","1","68599","1.6","0","9.7","1.5","0.3","8.3","99.50372%","1","final"
"2000","Lincoln","heroin","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","heroin","county","1","0","49403","0","","9.7","0","0","7.8","1 000.00000%","1","final"
"2000","Okanogan","heroin","county","1","0","39561","0","","11.6","0","0","9.7","1 000.00000%","1","final"
"2000","Pacific","heroin","county","1","0","20987","0","","28.8","0","0","18.3","1 000.00000%","1","final"
"2000","Pend Oreille","heroin","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","heroin","county","1","6","700821","0.9","0.3","1.9","0.9","0.4","1.9","40.79085%","1","final"
"2000","San Juan","heroin","county","1","0","14072","0","","57.9","0","0","27.3","1 000.00000%","1","final"
"2000","Skagit","heroin","county","1","0","102981","0","","4.1","0","0","3.7","1 000.00000%","1","final"
"2000","Skamania","heroin","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","heroin","county","1","2","606020","0.3","0","1.3","0.3","0.1","1.2","70.53456%","1","final"
"2000","Spokane","heroin","county","1","2","417937","0.5","0.1","1.8","0.5","0.1","1.7","70.53456%","1","final"
"2000","Stevens","heroin","county","1","0","40062","0","","13.5","0","0","9.6","1 000.00000%","1","final"
"2000","Thurston","heroin","county","1","3","207351","1.5","0.3","4.5","1.4","0.5","4.3","57.63904%","1","final"
"2000","Wahkiakum","heroin","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","heroin","county","1","0","55177","0","","8.2","0","0","7","1 000.00000%","1","final"
"2000","Whatcom","heroin","county","1","1","166826","0.6","0","3.6","0.6","0.1","3.4","99.50372%","1","final"
"2000","Whitman","heroin","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","heroin","county","1","2","222579","1","0.1","3.7","0.9","0.2","3.3","70.53456%","1","final"
"2000","Adams","natural_semi_synth","county","1","1","16433","7.1","0.2","41.4","6.1","1.1","34.5","99.50372%","1","final"
"2000","Asotin","natural_semi_synth","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","natural_semi_synth","county","1","1","142473","0.7","0","4.8","0.7","0.1","4","99.50372%","1","final"
"2000","Chelan","natural_semi_synth","county","1","1","66615","1.6","0","9.2","1.5","0.3","8.5","99.50372%","1","final"
"2000","Clallam","natural_semi_synth","county","1","0","64187","0","","8.5","0","0","6","1 000.00000%","1","final"
"2000","Clark","natural_semi_synth","county","1","4","345234","1.1","0.3","3.2","1.2","0.5","3","49.93762%","1","final"
"2000","Columbia","natural_semi_synth","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","natural_semi_synth","county","1","2","92949","2.3","0.3","8.5","2.2","0.6","7.8","70.53456%","1","final"
"2000","Douglas","natural_semi_synth","county","1","1","32600","3.2","0.1","18.9","3.1","0.5","17.4","99.50372%","1","final"
"2000","Ferry","natural_semi_synth","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","natural_semi_synth","county","1","0","49351","0","","14.4","0","0","7.8","1 000.00000%","1","final"
"2000","Garfield","natural_semi_synth","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","natural_semi_synth","county","1","1","74695","1.5","0","9","1.3","0.2","7.6","99.50372%","1","final"
"2000","Grays Harbor","natural_semi_synth","county","1","0","67190","0","","6.6","0","0","5.7","1 000.00000%","1","final"
"2000","Island","natural_semi_synth","county","1","1","71564","1.5","0","8.7","1.4","0.2","7.9","99.50372%","1","final"
"2000","Jefferson","natural_semi_synth","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","natural_semi_synth","county","1","20","1737047","1.1","0.7","1.7","1.2","0.7","1.8","22.35509%","0","final"
"2000","Kitsap","natural_semi_synth","county","1","5","231967","2.2","0.7","5.3","2.2","0.9","5","44.67671%","1","final"
"2000","Kittitas","natural_semi_synth","county","1","0","33361","0","","15.1","0","0","11.5","1 000.00000%","1","final"
"2000","Klickitat","natural_semi_synth","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","natural_semi_synth","county","1","0","68599","0","","6.8","0","0","5.6","1 000.00000%","1","final"
"2000","Lincoln","natural_semi_synth","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","natural_semi_synth","county","1","0","49403","0","","9.7","0","0","7.8","1 000.00000%","1","final"
"2000","Okanogan","natural_semi_synth","county","1","0","39561","0","","11.6","0","0","9.7","1 000.00000%","1","final"
"2000","Pacific","natural_semi_synth","county","1","1","20987","4.3","0.1","34.7","4.8","0.8","27","99.50372%","1","final"
"2000","Pend Oreille","natural_semi_synth","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","natural_semi_synth","county","1","20","700821","2.9","1.7","4.5","2.9","1.8","4.4","22.35509%","0","final"
"2000","San Juan","natural_semi_synth","county","1","0","14072","0","","57.9","0","0","27.3","1 000.00000%","1","final"
"2000","Skagit","natural_semi_synth","county","1","1","102981","0.8","0","5.4","1","0.2","5.5","99.50372%","1","final"
"2000","Skamania","natural_semi_synth","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","natural_semi_synth","county","1","12","606020","1.9","1","3.4","2","1.1","3.5","28.85549%","1","final"
"2000","Spokane","natural_semi_synth","county","1","14","417937","3.4","1.8","5.7","3.3","2","5.6","26.71658%","1","final"
"2000","Stevens","natural_semi_synth","county","1","0","40062","0","","13.5","0","0","9.6","1 000.00000%","1","final"
"2000","Thurston","natural_semi_synth","county","1","2","207351","1","0.1","3.7","1","0.3","3.5","70.53456%","1","final"
"2000","Wahkiakum","natural_semi_synth","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","natural_semi_synth","county","1","1","55177","2.1","0.1","11.9","1.8","0.3","10.3","99.50372%","1","final"
"2000","Whatcom","natural_semi_synth","county","1","0","166826","0","","2.7","0","0","2.3","1 000.00000%","1","final"
"2000","Whitman","natural_semi_synth","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","natural_semi_synth","county","1","6","222579","3.1","1.1","6.7","2.7","1.2","5.9","40.79085%","1","final"
"2000","Adams","methadone","county","1","0","16433","0","","28.7","0","0","23.4","1 000.00000%","1","final"
"2000","Asotin","methadone","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","methadone","county","1","0","142473","0","","3.6","0","0","2.7","1 000.00000%","1","final"
"2000","Chelan","methadone","county","1","0","66615","0","","6.3","0","0","5.8","1 000.00000%","1","final"
"2000","Clallam","methadone","county","1","3","64187","5.1","1","16.4","4.7","1.6","13.7","57.63904%","1","final"
"2000","Clark","methadone","county","1","2","345234","0.5","0.1","2.3","0.6","0.2","2.1","70.53456%","1","final"
"2000","Columbia","methadone","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","methadone","county","1","0","92949","0","","4.4","0","0","4.1","1 000.00000%","1","final"
"2000","Douglas","methadone","county","1","0","32600","0","","13.4","0","0","11.8","1 000.00000%","1","final"
"2000","Ferry","methadone","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","methadone","county","1","1","49351","2.4","0.1","17.9","2","0.4","11.5","99.50372%","1","final"
"2000","Garfield","methadone","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","methadone","county","1","3","74695","4.6","1","13.9","4","1.4","11.8","57.63904%","1","final"
"2000","Grays Harbor","methadone","county","1","0","67190","0","","6.6","0","0","5.7","1 000.00000%","1","final"
"2000","Island","methadone","county","1","0","71564","0","","6.1","0","0","5.4","1 000.00000%","1","final"
"2000","Jefferson","methadone","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","methadone","county","1","23","1737047","1.2","0.8","1.9","1.3","0.9","2","20.84691%","0","final"
"2000","Kitsap","methadone","county","1","6","231967","2.5","0.9","5.7","2.6","1.2","5.6","40.79085%","1","final"
"2000","Kittitas","methadone","county","1","1","33361","3.7","0.1","21.8","3","0.5","17","99.50372%","1","final"
"2000","Klickitat","methadone","county","1","0","19163","0","","25.3","0","0","20","1 000.00000%","1","final"
"2000","Lewis","methadone","county","1","2","68599","2.7","0.3","11.1","2.9","0.8","10.6","70.53456%","1","final"
"2000","Lincoln","methadone","county","1","0","10181","0","","56.6","0","0","37.7","1 000.00000%","1","final"
"2000","Mason","methadone","county","1","0","49403","0","","9.7","0","0","7.8","1 000.00000%","1","final"
"2000","Okanogan","methadone","county","1","0","39561","0","","11.6","0","0","9.7","1 000.00000%","1","final"
"2000","Pacific","methadone","county","1","0","20987","0","","28.8","0","0","18.3","1 000.00000%","1","final"
"2000","Pend Oreille","methadone","county","1","0","11731","0","","52.2","0","0","32.7","1 000.00000%","1","final"
"2000","Pierce","methadone","county","1","6","700821","0.8","0.3","1.9","0.9","0.4","1.9","40.79085%","1","final"
"2000","San Juan","methadone","county","1","0","14072","0","","57.9","0","0","27.3","1 000.00000%","1","final"
"2000","Skagit","methadone","county","1","1","102981","1.1","0","6.1","1","0.2","5.5","99.50372%","1","final"
"2000","Skamania","methadone","county","1","0","9873","0","","52","0","0","38.9","1 000.00000%","1","final"
"2000","Snohomish","methadone","county","1","10","606020","1.5","0.7","3","1.7","0.9","3","31.60698%","1","final"
"2000","Spokane","methadone","county","1","8","417937","1.9","0.8","3.8","1.9","1","3.8","35.33326%","1","final"
"2000","Stevens","methadone","county","1","0","40062","0","","13.5","0","0","9.6","1 000.00000%","1","final"
"2000","Thurston","methadone","county","1","0","207351","0","","2.1","0","0","1.9","1 000.00000%","1","final"
"2000","Wahkiakum","methadone","county","1","0","3823","0","","155.8","0","0","100.4","1 000.00000%","1","final"
"2000","Walla Walla","methadone","county","1","0","55177","0","","8.2","0","0","7","1 000.00000%","1","final"
"2000","Whatcom","methadone","county","1","0","166826","0","","2.7","0","0","2.3","1 000.00000%","1","final"
"2000","Whitman","methadone","county","1","0","40738","0","","13.6","0","0","9.4","1 000.00000%","1","final"
"2000","Yakima","methadone","county","1","1","222579","0.5","0","2.9","0.4","0.1","2.5","99.50372%","1","final"
"2000","Adams","synth_not_methadone","county","1","0","16433","0","","28.7","0","0","23.4","1 000.00000%","1","final"
"2000","Asotin","synth_not_methadone","county","1","0","20552","0","","21.5","0","0","18.7","1 000.00000%","1","final"
"2000","Benton","synth_not_methadone","county","1","0","142473","0","","3.6","0","0","2.7","1 000.00000%","1","final"
"2000","Chelan","synth_not_methadone","county","1","0","66615","0","","6.3","0","0","5.8","1 000.00000%","1","final"
"2000","Clallam","synth_not_methadone","county","1","0","64187","0","","8.5","0","0","6","1 000.00000%","1","final"
"2000","Clark","synth_not_methadone","county","1","2","345234","0.6","0.1","2.5","0.6","0.2","2.1","70.53456%","1","final"
"2000","Columbia","synth_not_methadone","county","1","0","4064","0","","169.9","0","0","94.4","1 000.00000%","1","final"
"2000","Cowlitz","synth_not_methadone","county","1","1","92949","1","0","6.1","1.1","0.2","6.1","99.50372%","1","final"
"2000","Douglas","synth_not_methadone","county","1","0","32600","0","","13.4","0","0","11.8","1 000.00000%","1","final"
"2000","Ferry","synth_not_methadone","county","1","0","7257","0","","82.9","0","0","52.9","1 000.00000%","1","final"
"2000","Franklin","synth_not_methadone","county","1","0","49351","0","","14.4","0","0","7.8","1 000.00000%","1","final"
"2000","Garfield","synth_not_methadone","county","1","0","2397","0","","266","0","0","160","1 000.00000%","1","final"
"2000","Grant","synth_not_methadone","county","1","1","74695","1.5","0","9.1","1.3","0.2","7.6","99.50372%","1","final"
"2000","Grays Harbor","synth_not_methadone","county","1","0","67190","0","","6.6","0","0","5.7","1 000.00000%","1","final"
"2000","Island","synth_not_methadone","county","1","0","71564","0","","6.1","0","0","5.4","1 000.00000%","1","final"
"2000","Jefferson","synth_not_methadone","county","1","0","26295","0","","25.4","0","0","14.6","1 000.00000%","1","final"
"2000","King","synth_not_methadone","county","1","7","1737047","0.4","0.2","0.8","0.4","0.2","0.8","37.76948%","1","final"
"2000","Kitsap","synth_not_methadone","county","1","1","231967","0.4","0","2.5","0.4","0.1","2.4","99.50372%","1","final"
"2000","Kittitas","synth_not_methadone","county","1","1","33361","3.7","0.1","21.8","3","0.5","17","99.50372%","1","final"
